asset_id,category,file,style_id,first_used_episode,first_used_scene,status,notes
security_umbrella,object,assets/objects/security_umbrella.svg,CO_SKETCH_V1,CO-001,S015,active,Protecao material para necessidades concretas
safety_path,object,assets/objects/safety_path.svg,CO_SKETCH_V1,CO-001,S016,active,Travessia da pressao para seguranca e escolha
research_page,object,assets/objects/research_page.svg,CO_SKETCH_V1,CO-001,S017,active,Pagina cientifica abstrata sem reproduzir estudo real
income_levels,object,assets/objects/income_levels.svg,CO_SKETCH_V1,CO-001,S018,active,Niveis de renda com respostas individuais variadas
magic_number_sign,object,assets/objects/magic_number_sign.svg,CO_SKETCH_V1,CO-001,S019,active,Placa abstrata negando um teto universal
comparison_elevator,object,assets/objects/comparison_elevator.svg,CO_SKETCH_V1,CO-001,S020,active,Elevadores paralelos de renda e referencia social
office_stations,object,assets/objects/office_stations.svg,CO_SKETCH_V1,CO-001,S021,active,Estacoes equivalentes do grupo anterior a promocao
status_signals,object,assets/objects/status_signals.svg,CO_SKETCH_V1,CO-001,S022,active,Sinais moderados de carro viagem e moradia
relative_steps,object,assets/objects/relative_steps.svg,CO_SKETCH_V1,CO-001,S024,active,Escada de posicao dentro do grupo de comparacao
upward_gaze,object,assets/objects/upward_gaze.svg,CO_SKETCH_V1,CO-001,S025,active,Campo de atencao seletiva voltado para cima
racing_rulers,object,assets/objects/racing_rulers.svg,CO_SKETCH_V1,CO-001,S026,active,Renda sobe enquanto a referencia se afasta
peer_envelope,object,assets/objects/peer_envelope.svg,CO_SKETCH_V1,CO-001,S027,active,Envelope abstrato com informacao sobre pares
budget_shift,object,assets/objects/budget_shift.svg,CO_SKETCH_V1,CO-001,S028,active,Redistribuicao parcial para bens duraveis
comparison_feed,object,assets/objects/comparison_feed.svg,CO_SKETCH_V1,CO-001,S029,active,Feed generico com carro moradia e viagem
paycheck_blocks,object,assets/objects/paycheck_blocks.svg,CO_SKETCH_V1,CO-001,S030,active,Contracheque-base em quatro blocos mais um
small_upgrades,object,assets/objects/small_upgrades.svg,CO_SKETCH_V1,CO-001,S031,active,Cinco melhorias cotidianas sem luxo
commitment_bar,object,assets/objects/commitment_bar.svg,CO_SKETCH_V1,CO-001,S032,active,Barra proporcional de mil com novecentos e cinquenta comprometidos
fictional_case_file,object,assets/objects/fictional_case_file.svg,CO_SKETCH_V1,CO-001,S034,active,Ficha didatica sem dados pessoais ou aparencia oficial
pleasure_vs_bill,object,assets/objects/pleasure_vs_bill.svg,CO_SKETCH_V1,CO-001,S035,active,Prazer que perde brilho e cobranca que permanece
walking_bills,object,assets/objects/walking_bills.svg,CO_SKETCH_V1,CO-001,S036,active,Cobrancas recorrentes que avancam ao primeiro plano
three_gears,object,assets/objects/three_gears.svg,CO_SKETCH_V1,CO-001,S037,active,Sintese de adaptacao comparacao e compromissos
synthesis_flow,object,assets/objects/synthesis_flow.svg,CO_SKETCH_V1,CO-001,S038,active,Fluxo de conquista para normal e aperto
enough_triangle,object,assets/objects/enough_triangle.svg,CO_SKETCH_V1,CO-001,S039,active,Relacao entre renda compromissos e normal
decision_interval,object,assets/objects/decision_interval.svg,CO_SKETCH_V1,CO-001,S040,active,Espaco de decisao antes de nova despesa fixa
conscious_balance,object,assets/objects/conscious_balance.svg,CO_SKETCH_V1,CO-001,S041,active,Balanca entre conforto escolhido e upgrades automaticos
destination_envelopes,object,assets/objects/destination_envelopes.svg,CO_SKETCH_V1,CO-001,S042,active,Tres destinos visuais sem percentuais ou recomendacao financeira
freedom_shadow,object,assets/objects/freedom_shadow.svg,CO_SKETCH_V1,CO-001,S043,active,Contracheque amplo com pequena area livre apos as contas
callback_threads,object,assets/objects/callback_threads.svg,CO_SKETCH_V1,CO-001,S044,active,Tres fios que reconectam a mensagem aos mecanismos centrais
locking_calendar,object,assets/objects/locking_calendar.svg,CO_SKETCH_V1,CO-001,S045,active,Calendario abstrato em que upgrades se tornam compromissos
background_paper,background,assets/backgrounds/paper.svg,CO_SKETCH_V1,CO-001,S002,active,Fundo de papel quente
background_graphite,background,assets/backgrounds/graphite.svg,CO_SKETCH_V1,CO-001,S001,active,Fundo escuro
