"asset_id";"cenas_atendidas";"lote";"nome_arquivo";"tipo";"prioridade";"referencia_autorizada";"prompt_positivo_completo";"negative_prompt_completo";"proporcao_e_enquadramento";"duracao_se_video";"texto_aplicado_no_editor";"continuidade_obrigatoria";"plano_b";"criterios_de_aprovacao";"status"
"A011";"{{CENAS_A011}}";"{{LOTE_A011}}";"{{ARQUIVO_A011}}";"{{TIPO_A011}}";"{{PRIORIDADE_A011}}";"{{REFERENCIA_A011}}";"{{PROMPT_POSITIVO_COMPLETO_A011}}";"{{NEGATIVE_PROMPT_COMPLETO_A011}}";"{{PROPORCAO_ENQUADRAMENTO_A011}}";"{{DURACAO_A011}}";"{{TEXTO_EDITOR_A011}}";"{{CONTINUIDADE_A011}}";"{{PLANO_B_A011}}";"{{CRITERIOS_APROVACAO_A011}}";"{{STATUS_A011}}"
"A012";"{{CENAS_A012}}";"{{LOTE_A012}}";"{{ARQUIVO_A012}}";"{{TIPO_A012}}";"{{PRIORIDADE_A012}}";"{{REFERENCIA_A012}}";"{{PROMPT_POSITIVO_COMPLETO_A012}}";"{{NEGATIVE_PROMPT_COMPLETO_A012}}";"{{PROPORCAO_ENQUADRAMENTO_A012}}";"{{DURACAO_A012}}";"{{TEXTO_EDITOR_A012}}";"{{CONTINUIDADE_A012}}";"{{PLANO_B_A012}}";"{{CRITERIOS_APROVACAO_A012}}";"{{STATUS_A012}}"
"A013";"{{CENAS_A013}}";"{{LOTE_A013}}";"{{ARQUIVO_A013}}";"{{TIPO_A013}}";"{{PRIORIDADE_A013}}";"{{REFERENCIA_A013}}";"{{PROMPT_POSITIVO_COMPLETO_A013}}";"{{NEGATIVE_PROMPT_COMPLETO_A013}}";"{{PROPORCAO_ENQUADRAMENTO_A013}}";"{{DURACAO_A013}}";"{{TEXTO_EDITOR_A013}}";"{{CONTINUIDADE_A013}}";"{{PLANO_B_A013}}";"{{CRITERIOS_APROVACAO_A013}}";"{{STATUS_A013}}"
"A014";"{{CENAS_A014}}";"{{LOTE_A014}}";"{{ARQUIVO_A014}}";"{{TIPO_A014}}";"{{PRIORIDADE_A014}}";"{{REFERENCIA_A014}}";"{{PROMPT_POSITIVO_COMPLETO_A014}}";"{{NEGATIVE_PROMPT_COMPLETO_A014}}";"{{PROPORCAO_ENQUADRAMENTO_A014}}";"{{DURACAO_A014}}";"{{TEXTO_EDITOR_A014}}";"{{CONTINUIDADE_A014}}";"{{PLANO_B_A014}}";"{{CRITERIOS_APROVACAO_A014}}";"{{STATUS_A014}}"
"A015";"{{CENAS_A015}}";"{{LOTE_A015}}";"{{ARQUIVO_A015}}";"{{TIPO_A015}}";"{{PRIORIDADE_A015}}";"{{REFERENCIA_A015}}";"{{PROMPT_POSITIVO_COMPLETO_A015}}";"{{NEGATIVE_PROMPT_COMPLETO_A015}}";"{{PROPORCAO_ENQUADRAMENTO_A015}}";"{{DURACAO_A015}}";"{{TEXTO_EDITOR_A015}}";"{{CONTINUIDADE_A015}}";"{{PLANO_B_A015}}";"{{CRITERIOS_APROVACAO_A015}}";"{{STATUS_A015}}"
"A016";"{{CENAS_A016}}";"{{LOTE_A016}}";"{{ARQUIVO_A016}}";"{{TIPO_A016}}";"{{PRIORIDADE_A016}}";"{{REFERENCIA_A016}}";"{{PROMPT_POSITIVO_COMPLETO_A016}}";"{{NEGATIVE_PROMPT_COMPLETO_A016}}";"{{PROPORCAO_ENQUADRAMENTO_A016}}";"{{DURACAO_A016}}";"{{TEXTO_EDITOR_A016}}";"{{CONTINUIDADE_A016}}";"{{PLANO_B_A016}}";"{{CRITERIOS_APROVACAO_A016}}";"{{STATUS_A016}}"
"A017";"{{CENAS_A017}}";"{{LOTE_A017}}";"{{ARQUIVO_A017}}";"{{TIPO_A017}}";"{{PRIORIDADE_A017}}";"{{REFERENCIA_A017}}";"{{PROMPT_POSITIVO_COMPLETO_A017}}";"{{NEGATIVE_PROMPT_COMPLETO_A017}}";"{{PROPORCAO_ENQUADRAMENTO_A017}}";"{{DURACAO_A017}}";"{{TEXTO_EDITOR_A017}}";"{{CONTINUIDADE_A017}}";"{{PLANO_B_A017}}";"{{CRITERIOS_APROVACAO_A017}}";"{{STATUS_A017}}"
"A018";"{{CENAS_A018}}";"{{LOTE_A018}}";"{{ARQUIVO_A018}}";"{{TIPO_A018}}";"{{PRIORIDADE_A018}}";"{{REFERENCIA_A018}}";"{{PROMPT_POSITIVO_COMPLETO_A018}}";"{{NEGATIVE_PROMPT_COMPLETO_A018}}";"{{PROPORCAO_ENQUADRAMENTO_A018}}";"{{DURACAO_A018}}";"{{TEXTO_EDITOR_A018}}";"{{CONTINUIDADE_A018}}";"{{PLANO_B_A018}}";"{{CRITERIOS_APROVACAO_A018}}";"{{STATUS_A018}}"
"A019";"{{CENAS_A019}}";"{{LOTE_A019}}";"{{ARQUIVO_A019}}";"{{TIPO_A019}}";"{{PRIORIDADE_A019}}";"{{REFERENCIA_A019}}";"{{PROMPT_POSITIVO_COMPLETO_A019}}";"{{NEGATIVE_PROMPT_COMPLETO_A019}}";"{{PROPORCAO_ENQUADRAMENTO_A019}}";"{{DURACAO_A019}}";"{{TEXTO_EDITOR_A019}}";"{{CONTINUIDADE_A019}}";"{{PLANO_B_A019}}";"{{CRITERIOS_APROVACAO_A019}}";"{{STATUS_A019}}"
"A020";"{{CENAS_A020}}";"{{LOTE_A020}}";"{{ARQUIVO_A020}}";"{{TIPO_A020}}";"{{PRIORIDADE_A020}}";"{{REFERENCIA_A020}}";"{{PROMPT_POSITIVO_COMPLETO_A020}}";"{{NEGATIVE_PROMPT_COMPLETO_A020}}";"{{PROPORCAO_ENQUADRAMENTO_A020}}";"{{DURACAO_A020}}";"{{TEXTO_EDITOR_A020}}";"{{CONTINUIDADE_A020}}";"{{PLANO_B_A020}}";"{{CRITERIOS_APROVACAO_A020}}";"{{STATUS_A020}}"
"A021";"{{CENAS_A021}}";"{{LOTE_A021}}";"{{ARQUIVO_A021}}";"{{TIPO_A021}}";"{{PRIORIDADE_A021}}";"{{REFERENCIA_A021}}";"{{PROMPT_POSITIVO_COMPLETO_A021}}";"{{NEGATIVE_PROMPT_COMPLETO_A021}}";"{{PROPORCAO_ENQUADRAMENTO_A021}}";"{{DURACAO_A021}}";"{{TEXTO_EDITOR_A021}}";"{{CONTINUIDADE_A021}}";"{{PLANO_B_A021}}";"{{CRITERIOS_APROVACAO_A021}}";"{{STATUS_A021}}"
"A022";"{{CENAS_A022}}";"{{LOTE_A022}}";"{{ARQUIVO_A022}}";"{{TIPO_A022}}";"{{PRIORIDADE_A022}}";"{{REFERENCIA_A022}}";"{{PROMPT_POSITIVO_COMPLETO_A022}}";"{{NEGATIVE_PROMPT_COMPLETO_A022}}";"{{PROPORCAO_ENQUADRAMENTO_A022}}";"{{DURACAO_A022}}";"{{TEXTO_EDITOR_A022}}";"{{CONTINUIDADE_A022}}";"{{PLANO_B_A022}}";"{{CRITERIOS_APROVACAO_A022}}";"{{STATUS_A022}}"
"A023";"{{CENAS_A023}}";"{{LOTE_A023}}";"{{ARQUIVO_A023}}";"{{TIPO_A023}}";"{{PRIORIDADE_A023}}";"{{REFERENCIA_A023}}";"{{PROMPT_POSITIVO_COMPLETO_A023}}";"{{NEGATIVE_PROMPT_COMPLETO_A023}}";"{{PROPORCAO_ENQUADRAMENTO_A023}}";"{{DURACAO_A023}}";"{{TEXTO_EDITOR_A023}}";"{{CONTINUIDADE_A023}}";"{{PLANO_B_A023}}";"{{CRITERIOS_APROVACAO_A023}}";"{{STATUS_A023}}"
"A024";"{{CENAS_A024}}";"{{LOTE_A024}}";"{{ARQUIVO_A024}}";"{{TIPO_A024}}";"{{PRIORIDADE_A024}}";"{{REFERENCIA_A024}}";"{{PROMPT_POSITIVO_COMPLETO_A024}}";"{{NEGATIVE_PROMPT_COMPLETO_A024}}";"{{PROPORCAO_ENQUADRAMENTO_A024}}";"{{DURACAO_A024}}";"{{TEXTO_EDITOR_A024}}";"{{CONTINUIDADE_A024}}";"{{PLANO_B_A024}}";"{{CRITERIOS_APROVACAO_A024}}";"{{STATUS_A024}}"
"A025";"{{CENAS_A025}}";"{{LOTE_A025}}";"{{ARQUIVO_A025}}";"{{TIPO_A025}}";"{{PRIORIDADE_A025}}";"{{REFERENCIA_A025}}";"{{PROMPT_POSITIVO_COMPLETO_A025}}";"{{NEGATIVE_PROMPT_COMPLETO_A025}}";"{{PROPORCAO_ENQUADRAMENTO_A025}}";"{{DURACAO_A025}}";"{{TEXTO_EDITOR_A025}}";"{{CONTINUIDADE_A025}}";"{{PLANO_B_A025}}";"{{CRITERIOS_APROVACAO_A025}}";"{{STATUS_A025}}"
"A026";"{{CENAS_A026}}";"{{LOTE_A026}}";"{{ARQUIVO_A026}}";"{{TIPO_A026}}";"{{PRIORIDADE_A026}}";"{{REFERENCIA_A026}}";"{{PROMPT_POSITIVO_COMPLETO_A026}}";"{{NEGATIVE_PROMPT_COMPLETO_A026}}";"{{PROPORCAO_ENQUADRAMENTO_A026}}";"{{DURACAO_A026}}";"{{TEXTO_EDITOR_A026}}";"{{CONTINUIDADE_A026}}";"{{PLANO_B_A026}}";"{{CRITERIOS_APROVACAO_A026}}";"{{STATUS_A026}}"
"A027";"{{CENAS_A027}}";"{{LOTE_A027}}";"{{ARQUIVO_A027}}";"{{TIPO_A027}}";"{{PRIORIDADE_A027}}";"{{REFERENCIA_A027}}";"{{PROMPT_POSITIVO_COMPLETO_A027}}";"{{NEGATIVE_PROMPT_COMPLETO_A027}}";"{{PROPORCAO_ENQUADRAMENTO_A027}}";"{{DURACAO_A027}}";"{{TEXTO_EDITOR_A027}}";"{{CONTINUIDADE_A027}}";"{{PLANO_B_A027}}";"{{CRITERIOS_APROVACAO_A027}}";"{{STATUS_A027}}"
"A028";"{{CENAS_A028}}";"{{LOTE_A028}}";"{{ARQUIVO_A028}}";"{{TIPO_A028}}";"{{PRIORIDADE_A028}}";"{{REFERENCIA_A028}}";"{{PROMPT_POSITIVO_COMPLETO_A028}}";"{{NEGATIVE_PROMPT_COMPLETO_A028}}";"{{PROPORCAO_ENQUADRAMENTO_A028}}";"{{DURACAO_A028}}";"{{TEXTO_EDITOR_A028}}";"{{CONTINUIDADE_A028}}";"{{PLANO_B_A028}}";"{{CRITERIOS_APROVACAO_A028}}";"{{STATUS_A028}}"
"A029";"{{CENAS_A029}}";"{{LOTE_A029}}";"{{ARQUIVO_A029}}";"{{TIPO_A029}}";"{{PRIORIDADE_A029}}";"{{REFERENCIA_A029}}";"{{PROMPT_POSITIVO_COMPLETO_A029}}";"{{NEGATIVE_PROMPT_COMPLETO_A029}}";"{{PROPORCAO_ENQUADRAMENTO_A029}}";"{{DURACAO_A029}}";"{{TEXTO_EDITOR_A029}}";"{{CONTINUIDADE_A029}}";"{{PLANO_B_A029}}";"{{CRITERIOS_APROVACAO_A029}}";"{{STATUS_A029}}"
"A030";"{{CENAS_A030}}";"{{LOTE_A030}}";"{{ARQUIVO_A030}}";"{{TIPO_A030}}";"{{PRIORIDADE_A030}}";"{{REFERENCIA_A030}}";"{{PROMPT_POSITIVO_COMPLETO_A030}}";"{{NEGATIVE_PROMPT_COMPLETO_A030}}";"{{PROPORCAO_ENQUADRAMENTO_A030}}";"{{DURACAO_A030}}";"{{TEXTO_EDITOR_A030}}";"{{CONTINUIDADE_A030}}";"{{PLANO_B_A030}}";"{{CRITERIOS_APROVACAO_A030}}";"{{STATUS_A030}}"
"A031";"{{CENAS_A031}}";"{{LOTE_A031}}";"{{ARQUIVO_A031}}";"{{TIPO_A031}}";"{{PRIORIDADE_A031}}";"{{REFERENCIA_A031}}";"{{PROMPT_POSITIVO_COMPLETO_A031}}";"{{NEGATIVE_PROMPT_COMPLETO_A031}}";"{{PROPORCAO_ENQUADRAMENTO_A031}}";"{{DURACAO_A031}}";"{{TEXTO_EDITOR_A031}}";"{{CONTINUIDADE_A031}}";"{{PLANO_B_A031}}";"{{CRITERIOS_APROVACAO_A031}}";"{{STATUS_A031}}"
"A032";"{{CENAS_A032}}";"{{LOTE_A032}}";"{{ARQUIVO_A032}}";"{{TIPO_A032}}";"{{PRIORIDADE_A032}}";"{{REFERENCIA_A032}}";"{{PROMPT_POSITIVO_COMPLETO_A032}}";"{{NEGATIVE_PROMPT_COMPLETO_A032}}";"{{PROPORCAO_ENQUADRAMENTO_A032}}";"{{DURACAO_A032}}";"{{TEXTO_EDITOR_A032}}";"{{CONTINUIDADE_A032}}";"{{PLANO_B_A032}}";"{{CRITERIOS_APROVACAO_A032}}";"{{STATUS_A032}}"
"A033";"{{CENAS_A033}}";"{{LOTE_A033}}";"{{ARQUIVO_A033}}";"{{TIPO_A033}}";"{{PRIORIDADE_A033}}";"{{REFERENCIA_A033}}";"{{PROMPT_POSITIVO_COMPLETO_A033}}";"{{NEGATIVE_PROMPT_COMPLETO_A033}}";"{{PROPORCAO_ENQUADRAMENTO_A033}}";"{{DURACAO_A033}}";"{{TEXTO_EDITOR_A033}}";"{{CONTINUIDADE_A033}}";"{{PLANO_B_A033}}";"{{CRITERIOS_APROVACAO_A033}}";"{{STATUS_A033}}"
"A034";"{{CENAS_A034}}";"{{LOTE_A034}}";"{{ARQUIVO_A034}}";"{{TIPO_A034}}";"{{PRIORIDADE_A034}}";"{{REFERENCIA_A034}}";"{{PROMPT_POSITIVO_COMPLETO_A034}}";"{{NEGATIVE_PROMPT_COMPLETO_A034}}";"{{PROPORCAO_ENQUADRAMENTO_A034}}";"{{DURACAO_A034}}";"{{TEXTO_EDITOR_A034}}";"{{CONTINUIDADE_A034}}";"{{PLANO_B_A034}}";"{{CRITERIOS_APROVACAO_A034}}";"{{STATUS_A034}}"
"A035";"{{CENAS_A035}}";"{{LOTE_A035}}";"{{ARQUIVO_A035}}";"{{TIPO_A035}}";"{{PRIORIDADE_A035}}";"{{REFERENCIA_A035}}";"{{PROMPT_POSITIVO_COMPLETO_A035}}";"{{NEGATIVE_PROMPT_COMPLETO_A035}}";"{{PROPORCAO_ENQUADRAMENTO_A035}}";"{{DURACAO_A035}}";"{{TEXTO_EDITOR_A035}}";"{{CONTINUIDADE_A035}}";"{{PLANO_B_A035}}";"{{CRITERIOS_APROVACAO_A035}}";"{{STATUS_A035}}"
"A036";"{{CENAS_A036}}";"{{LOTE_A036}}";"{{ARQUIVO_A036}}";"{{TIPO_A036}}";"{{PRIORIDADE_A036}}";"{{REFERENCIA_A036}}";"{{PROMPT_POSITIVO_COMPLETO_A036}}";"{{NEGATIVE_PROMPT_COMPLETO_A036}}";"{{PROPORCAO_ENQUADRAMENTO_A036}}";"{{DURACAO_A036}}";"{{TEXTO_EDITOR_A036}}";"{{CONTINUIDADE_A036}}";"{{PLANO_B_A036}}";"{{CRITERIOS_APROVACAO_A036}}";"{{STATUS_A036}}"
