asset_id,batch,tool_target,duration_seconds,reference_input,prompt_final,negative_prompt
A09,02-adaptation,image,0,A00,"Ilustração editorial 2D horizontal 16:9 dividida ao meio. À esquerda, uma chama amarela de emoção nova diminui em três estágios; à direita, uma escada verde de aspiração sobe em três estágios. O personagem A00 fica no centro observando os movimentos opostos. Fundo grafite limpo, contorno preto grosso, símbolos grandes, forte contraste, composição de infográfico narrativo sem texto.","sem palavras, letras, números, logotipos, gráfico acadêmico copiado, fotorrealismo, 3D, anime, muitos símbolos, personagem diferente, fogo realista perigoso"
A10,02-adaptation,image,0,A00,"Ilustração editorial 2D horizontal 16:9. O personagem A00 comemora sobre um pequeno pódio verde que, numa transformação visual contínua, se estende e vira o piso comum onde ele passa a ficar neutro. Mostrar a metamorfose do pódio para chão em uma única composição da esquerda para a direita. Fundo creme, contorno preto grosso, verde-limão, amarelo discreto, leitura instantânea.","sem texto, letras, números, medalha, competição esportiva, logotipos, fotorrealismo, 3D, anime, arquitetura complexa, personagem inconsistente"
A11,02-adaptation,image,0,A00,"Ilustração editorial 2D horizontal 16:9 dividida antes e depois. À esquerda, o personagem A00 recebe uma sacola de delivery como evento especial, com pequeno brilho e mesa arrumada. À direita, recebe a mesma sacola com expressão neutra em uma terça-feira comum, cercado por outras duas embalagens simples. Um fio verde conecta os lados. Fundo creme, contorno preto espesso, vermelho apenas na sacola genérica, sem marca.","sem palavras, letras, números, marcas de delivery, logotipos, fotorrealismo, 3D, anime, excesso de comida, estética infantil, personagem diferente"
A12,03-nuance,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Quatro necessidades concretas — casa segura, prato de comida, símbolo de saúde e pequena reserva para imprevisto — ficam protegidas sob um grande guarda-chuva verde-limão segurado pelo personagem A00. Do lado de fora caem contas como gotas, sem palavras. Expressão de alívio real, fundo grafite chuvoso e área interna creme quente, contorno preto grosso.","sem texto, letras, números, símbolo de hospital real, logotipos, dinheiro chovendo, fotorrealismo, 3D, anime, tragédia, criança, personagem inconsistente"
A13,03-nuance,image,0,A00,"Ilustração editorial 2D horizontal 16:9. O personagem A00 caminha de uma zona escura cheia de contas abstratas e pressão para uma zona clara com espaço, comida, moradia e tempo representados por quatro formas simples. Não mostrar riqueza; mostrar segurança e escolha. Um fio verde conduz o caminho. Contorno preto espesso, papel quente, grafite, verde-limão e azul controlado.","sem palavras, letras, números, marcas, mansão, luxo, pilhas de dinheiro, fotorrealismo, 3D, anime, estética religiosa, personagem inconsistente"
A14,03-nuance,image,0,A00,"Ilustração editorial 2D horizontal 16:9 de uma página científica abstrata sobre uma mesa, sem copiar publicação real. Sobre a página, cinco pequenos personagens A00 aparecem distribuídos em diferentes alturas ao longo de uma curva ascendente suave; um grupo inferior achata e grupos superiores continuam. Lupa focaliza a diferença entre grupos. Fundo creme, grafite e verde-limão, contorno preto grosso, aparência de pesquisa visual.","sem texto legível, letras, números, DOI, logotipo de revista, reprodução de gráfico real, fotorrealismo, 3D, anime, curva enganosa muito íngreme, personagens diferentes"
A15,03-nuance,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Cinco versões do personagem A00 ocupam níveis distintos de bem-estar ao lado de uma mesma seta de renda crescente; cada uma reage de forma diferente, da tensão ao sorriso, sem sugerir causalidade absoluta. Fundo grafite com plataformas creme, verde-limão na seta, contorno preto grosso, composição organizada e adulta.","sem palavras, letras, números, logotipos, rostos humanos realistas, fotorrealismo, 3D, anime, gráfico copiado, estereótipos de pobreza ou riqueza, personagem inconsistente"
A16,03-nuance,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Uma grande placa de limite com um número abstrato ilegível está coberta por uma faixa vermelha diagonal, enquanto várias pessoas A00 seguem caminhos diferentes ao redor dela. A cena comunica que não existe um teto universal. Fundo creme, placa grafite, verde e amarelo nos caminhos, contorno preto espesso, espaço no topo.","sem número legível, palavras, letras, moeda específica, logotipos, fotorrealismo, 3D, anime, placa de trânsito real, personagens inconsistentes, excesso de setas"
A17,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. O personagem A00 trabalha ao lado de três colegas visualmente equivalentes em uma mesa simples, todos com objetos cotidianos semelhantes e posturas relaxadas. Composição horizontal equilibrada, fundo de escritório minimalista creme e grafite, fio verde discreto entre as estações, contorno preto grosso, sem marcas.","sem texto, letras, números, logotipos, computadores de marca, fotorrealismo, 3D, anime, chefe dominante, diversidade caricata, cenário carregado"
A18,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Mesmo personagem A00 no centro de um novo grupo profissional; três colegas ao redor exibem sinais moderados de padrão mais alto: chave de carro, foto de viagem e planta de apartamento maior. O protagonista olha de um objeto para outro com desconforto contido. Fundo grafite elegante, objetos em amarelo e azul, fio verde-limão conectando as referências, contorno preto grosso.","sem palavras, letras, números, marcas de carro, luxo extravagante, celebridades, fotorrealismo, 3D, anime, humilhação, personagem inconsistente, objetos minúsculos"
A19,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9 com dois elevadores transparentes subindo lado a lado. No primeiro, o personagem A00 segura um contracheque com seta verde; no segundo, silhuetas de comparação seguram casa, carro e mala de viagem. Ambos chegam ao andar seguinte simultaneamente. Fundo de prédio simplificado, creme e grafite, contorno preto espesso, movimento vertical claro, sem texto.","sem palavras, letras, números, logotipos, elevador realista complexo, fotorrealismo, 3D, anime, cenário urbano detalhado, personagem inconsistente"
A20,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Escada larga de cinco degraus com versões consistentes do personagem A00 em diferentes posições. O protagonista no degrau central olha intensamente para figuras acima; figuras abaixo ficam fora do foco visual. Uma linha verde indica posição relativa, não riqueza absoluta. Fundo creme, contorno preto grosso, composição limpa.","sem palavras, letras, números, coroa, medalha, humilhação, logotipos, fotorrealismo, 3D, anime, escada infinita, personagens inconsistentes"
A21,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Close do rosto do personagem A00 com olhos e sobrancelhas direcionados para três silhuetas em plataformas superiores, iluminadas em amarelo. Duas silhuetas em plataformas inferiores permanecem discretas na periferia. Fundo grafite, fio verde do olhar para cima, contorno preto espesso, forte leitura emocional.","sem texto, letras, números, logotipos, olhos realistas, fotorrealismo, 3D, anime, inveja maligna, personagem diferente, plataformas confusas"
A22,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9 com duas réguas verticais lado a lado. A seta verde da renda sobe bastante; a régua vermelha de expectativa sobe ainda mais e termina acima. O personagem A00 fica entre ambas, primeiro sorrindo e depois percebendo a distância. Fundo creme, contorno preto grosso, gráfico metafórico simples sem valores ou texto.","sem palavras, letras, números, logotipos, gráfico financeiro real, fotorrealismo, 3D, anime, muitas linhas, personagem inconsistente"
A23,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Uma família de dois adultos no estilo A00 abre um envelope de pesquisa; dele surge um gráfico abstrato com três silhuetas de pares acima do esperado. A expressão muda para surpresa reflexiva, não pânico. Fundo de sala simples, creme e grafite, verde-limão no envelope e fio de comparação, contorno preto espesso.","sem palavras, letras, números, logotipos, correspondência oficial real, fotorrealismo, 3D, anime, crianças, medo extremo, personagens inconsistentes"
A24,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Um orçamento visual como conjunto de fichas se desloca parcialmente de uma cesta cotidiana para três bens duráveis genéricos: sofá, eletrônico e carro compacto. O personagem A00 observa a redistribuição com expressão de escolha. Fundo grafite limpo, fichas verdes e amarelas, contorno preto espesso, sem sugerir aumento total de gasto.","sem palavras, letras, números, marcas, carro de luxo, dinheiro em espécie, fotorrealismo, 3D, anime, seta que sugira enriquecimento, personagem inconsistente"
A25,04-comparison,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Um celular genérico grande mostra um feed visual em três cartões sem texto: colega com carro novo, amigo em bairro mais caro e influenciador em viagem. O personagem A00 segura o aparelho e sua régua mental verde sobe discretamente atrás dele. Fundo creme, contorno preto grosso, cores limitadas, leitura clara de comparação digital.","sem palavras, letras, números, logotipos de rede social, celebridades, marcas de carro, fotorrealismo, 3D, anime, feed lotado, personagem inconsistente"
A26R,05-character,image,0,A00,"Folha de referência horizontal 16:9 em alta resolução da personagem secundária Ana no mesmo sistema editorial 2D de A00. Mostrar a mesma mulher adulta em vista frontal, três quartos, perfil e costas, com seis expressões: alívio, celebração moderada, surpresa, reflexão, tensão e compreensão. Cabeça circular papel quente #F2E8D5, olhos pretos simples, sobrancelhas expressivas, cabelo preto curto em forma geométrica única e invariável, roupa grafite #111315 com pequeno bolso verde-limão #A7E22E, mãos de quatro dedos, contorno preto espesso, proporções idênticas e cada pose separada em fundo branco. Aparência adulta, neutra e não estereotipada, claramente distinta de A00 e fácil de reproduzir.","sem palavras, letras, números, logotipos, fotorrealismo, 3D, anime, maquiagem exagerada, salto alto, bolsa, joias, estereótipo feminino, cabelo variando, dedos extras, membros deformados, poses sobrepostas"
A26,05-commitments,image,0,A26R,"Ilustração editorial 2D horizontal 16:9 usando exatamente Ana da referência A26R. Ela segura um contracheque-base representado por quatro blocos verdes e recebe mais um bloco verde separado, celebrando com moderação. Fundo creme, contorno preto espesso, grande espaço lateral para inserir valores no editor.","sem palavras, letras, números, logotipos, dinheiro físico, fotorrealismo, 3D, anime, estereótipo feminino, salto alto, bolsa de luxo, anatomia inconsistente, personagem diferente da referência"
A27,05-commitments,image,0,A26R,"Ilustração editorial 2D horizontal 16:9 usando exatamente Ana da referência A26R no centro. Ao redor dela, cinco escolhas cotidianas grandes e bem separadas: moradia um pouco melhor, transporte por aplicativo genérico, delivery simples, plano de serviço e pequena compra parcelada. Todas parecem razoáveis e sem luxo. Um fio verde conecta as cinco escolhas, com fundo creme e grafite, contorno preto grosso e espaço para números adicionados depois.","sem texto, letras, números, marcas, mansão, carro de luxo, comida extravagante, fotorrealismo, 3D, anime, culpa, caricatura, ícones pequenos, personagem diferente da referência"
A28,05-commitments,image,0,A26R,"Ilustração editorial 2D horizontal 16:9 usando exatamente Ana da referência A26R. Uma barra verde grande e vazia representa o aumento; cinco blocos de despesa com ícones de casa, carro, refeição, plano e parcela entram progressivamente ocupando quase toda a barra. Ana observa ao lado com expressão surpresa. Fundo grafite, blocos em amarelo e vermelho controlado, contorno preto grosso, áreas limpas para inserir valores no editor.","sem palavras, letras, números, logotipos, gráfico financeiro copiado, fotorrealismo, 3D, anime, barra totalmente cheia, personagem diferente da referência, ícones pequenos"
A29,05-commitments,image,0,A26R,"Ilustração editorial 2D horizontal 16:9 usando exatamente Ana da referência A26R. A mesma barra do aumento aparece quase toda ocupada por blocos de despesa vermelhos e amarelos; resta apenas um segmento verde minúsculo e brilhante. Ana aponta para o segmento com olhos arregalados. Fundo creme, contorno preto espesso, composição extremamente simples, espaço sobre o segmento para inserir cinquenta reais no editor.","sem texto gerado, letras, números, logotipos, dinheiro físico, fotorrealismo, 3D, anime, barra confusa, personagem diferente da referência"
A30,05-commitments,image,0,A26R,"Ilustração editorial 2D horizontal 16:9. Uma ficha de caso fictício com retrato de Ana exatamente como na referência A26R, barra de renda e cinco despesas abstratas; sobre ela desce um grande carimbo gráfico vazio em vermelho, deixando área central para a palavra adicionada no editor. Fundo de mesa grafite, papel creme, contorno preto grosso, aparência clara de exemplo didático, não documento oficial.","sem palavras, letras, números, documento de identidade, logotipos, selo governamental, fotorrealismo, 3D, anime, dados pessoais, personagem diferente da referência"
A31,05-commitments,image,0,A26R,"Ilustração editorial 2D horizontal 16:9 usando exatamente Ana da referência A26R. À esquerda, uma melhoria aparece como presente brilhante e perde luminosidade em três estágios; à direita, um calendário de cobrança permanece sólido e repete a mesma folha. Ana observa a diferença. Fundo grafite, presente amarelo, calendário vermelho suave, fio verde entre ambos, contorno preto espesso, metáfora adulta.","sem palavras, letras, números, marcas, festa de aniversário, fotorrealismo, 3D, anime, clima infantil, personagem diferente da referência, calendário detalhado"
A32,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Três engrenagens grandes interligadas em torno do personagem A00: uma contém uma régua de normalidade, outra silhuetas de comparação e a terceira contas recorrentes. O fio verde-limão passa por todas e chega à carteira do personagem. Fundo creme, engrenagens grafite, amarelo e vermelho pontuais, contorno preto grosso, composição de síntese limpa.","sem texto, letras, números, logotipos, maquinaria realista, fotorrealismo, 3D, anime, excesso de engrenagens, personagem inconsistente"
A33,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9 em três painéis conectados: primeiro, personagem A00 comemora uma conquista; segundo, a conquista se torna piso normal; terceiro, contas fecham o espaço de margem. Um único fio verde atravessa os três quadros. Fundo alterna creme e grafite, contorno preto grosso, narrativa visual clara da esquerda para a direita.","sem palavras, letras, números, logotipos, dinheiro voando, fotorrealismo, 3D, anime, quadros desalinhados, personagem inconsistente"
A34,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Triângulo conceitual com três vértices representados por ícones grandes: renda entrando, compromissos fixos e régua do normal. No centro, o personagem A00 encontra um pequeno espaço verde de folga. Fundo grafite, linhas creme e verde-limão, contorno preto espesso, composição minimalista sem texto.","sem palavras, letras, números, logotipos, fórmula matemática, fotorrealismo, 3D, anime, diagrama complexo, personagem inconsistente"
A35,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Linha de calendário clara entre dois eventos: de um lado, o celular com notificação de aumento; do outro, um cadeado vermelho preso a uma nova despesa fixa. O personagem A00 fica no espaço vazio entre os eventos, pensando antes de avançar. Fio verde marca o intervalo. Fundo creme, contorno preto grosso, grande área respirável.","sem palavras, letras, números, logotipos, calendário real detalhado, fotorrealismo, 3D, anime, personagem paralisado por medo, excesso de ícones"
A36,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9. O personagem A00 diante de uma balança: em um prato, um conforto escolhido e significativo; no outro, três pequenos upgrades automáticos. Ele move conscientemente uma ficha verde para o primeiro prato, com expressão tranquila. Fundo grafite e creme, contorno preto espesso, mensagem de escolha sem culpa.","sem texto, letras, números, logotipos, balança da justiça realista, moralismo, fotorrealismo, 3D, anime, rosto de culpa extrema, personagem inconsistente"
A37,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Três envelopes visuais sem palavras recebem fichas do aumento: um mostra vida melhor, outro espaço livre e outro horizonte futuro. O personagem A00 organiza as fichas antes que um botão automático as puxe. Fundo creme, verde-limão como destaque, azul secundário, contorno preto grosso, nenhum percentual.","sem texto, letras, números, logotipos, recomendação de investimento, moedas reais, fotorrealismo, 3D, anime, percentuais, personagem inconsistente"
A38,06-synthesis,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Um contracheque abstrato enorme atrás do personagem A00 projeta uma sombra em forma de liberdade; várias contas ocupam a luz e fazem a sombra ficar pequena. O protagonista compara o papel grande com a pequena área livre. Fundo grafite, luz creme, fio verde parcialmente bloqueado, contorno preto espesso.","sem palavras, letras, números, logotipos, documento salarial real, fotorrealismo, 3D, anime, clima de horror, personagem inconsistente, contas ilegíveis em excesso"
A39,07-callback,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Calendário visual abstrato sem números nem prazo definido; em etapas, pequenos upgrades cotidianos se transformam em cadeados ligados a cobranças recorrentes. O personagem A00 observa a sequência com entendimento, não pânico. Fundo creme e grafite, verde no começo e vermelho no fim, contorno preto grosso.","sem palavras, letras, números legíveis, prazo específico, logotipos, prisão literal, fotorrealismo, 3D, anime, excesso de cadeados, personagem inconsistente"
A40,07-callback,image,0,A00,"Ilustração editorial 2D horizontal 16:9. O personagem A00 reconhece diante dele três mecanismos já vistos: a régua do normal, as silhuetas da comparação e as cobranças recorrentes. Um único fio verde conecta os três e segue em direção a uma fechadura luminosa no canto direito, preparando a assinatura do canal. Expressão de compreensão, fundo creme, contorno preto grosso e área superior limpa para texto do editor.","sem palavras, letras, números, marcas, logotipos, área de comentários, gesto de apontar, fotorrealismo, 3D, anime, excesso de objetos, personagem inconsistente"
A41,07-callback,image,0,A00,"Ilustração editorial 2D horizontal 16:9 para encerramento. Em fundo grafite, um único fio verde-limão desenha o contorno de uma fechadura abstrata e revela dentro dela o personagem A00 segurando uma pequena lanterna amarela. Composição central premium, simples e reconhecível, espaço para o nome Capital Oculto ser aplicado no editor, contorno preto espesso, sem texto gerado.","sem palavras, letras, números, logotipo pronto, cifrão, olho conspiratório, pirâmide, fotorrealismo, 3D, anime, excesso de brilho, personagem inconsistente"
V01,08-motion,video,5,A00,"Clipe horizontal 16:9 de 5 segundos em ilustração editorial 2D. Desde o primeiro quadro, o mesmo personagem A00 já está tenso diante de uma compra cotidiana pequena, segurando o celular e conferindo um saldo abstrato sem números. Atrás dele, um símbolo verde de aumento e folhas de calendário já apagadas perdem o brilho, deixando clara a passagem de tempo e a contradição. A câmera faz push-in suave no rosto e no celular; formas estáveis, contorno preto grosso, fundo grafite, sem texto nem interface real. O último quadro deve ficar limpo e estável para ser prolongado por três segundos na edição.","sem palavras, letras, números, logotipos, sorriso inicial, espera antes da tensão, morphing de rosto, mãos deformadas, câmera tremida, cortes aleatórios, fotorrealismo, 3D, anime, dinheiro voando, personagem inconsistente"
V02,08-motion,video,5,A00,"Clipe horizontal 16:9 de 5 segundos em animação editorial 2D. Duas barras abstratas partem do mesmo ponto: a renda verde sobe primeiro, a expectativa amarela começa depois e a alcança; quando se encontram, o personagem A00 passa de euforia para neutralidade. Movimento limpo de gráfico metafórico, câmera fixa, contorno preto grosso, fundo creme, sem valores ou texto. Primeiro e último quadros devem ficar limpos e estáveis para extensão na edição.","sem letras, números, palavras, logotipos, gráfico de mercado, fotorrealismo, 3D, anime, flicker, formas instáveis, personagem inconsistente"
V03,08-motion,video,5,A00,"Clipe horizontal 16:9 de 5 segundos em ilustração editorial 2D. Dois elevadores transparentes sobem lado a lado. Em um, o personagem A00 segura o símbolo de aumento; no outro, silhuetas de comparação com carro, casa e viagem. As portas abrem no mesmo andar e o protagonista percebe que a referência também subiu. Movimento vertical contínuo, contorno preto grosso, fundo de prédio simples, sem texto. Primeiro e último quadros devem ficar limpos e estáveis para extensão na edição.","sem palavras, letras, números, marcas, elevador deformado, pessoas mudando de aparência, fotorrealismo, 3D, anime, câmera frenética, objetos surgindo sem transição"
V04,08-motion,video,5,A00,"Clipe horizontal 16:9 de 5 segundos em animação editorial 2D. Apartamento melhor, transporte e assinatura começam brilhantes ao redor do personagem A00; o brilho desaparece e os objetos recuam para o fundo, enquanto três boletos cartunescos simples ganham pernas e caminham para o primeiro plano. Humor discreto, parallax suave, contorno preto grosso, paleta grafite, creme, verde e vermelho, sem texto. Primeiro e último quadros devem ficar limpos e estáveis para extensão com parallax na edição.","sem palavras, letras, números, logotipos, boletos reais, horror, rostos nos boletos, fotorrealismo, 3D, anime, morphing, personagem inconsistente"
V05,08-motion,video,5,A00,"Clipe horizontal 16:9 de 5 segundos em ilustração editorial 2D. O personagem A00 caminha em direção a uma linha de chegada minimalista; quando se aproxima, a linha cria pequenas rodas e se afasta suavemente. Ele para, percebe o mecanismo e acompanha o fio verde que move a linha. Câmera lateral estável, final com espaço superior para texto no editor, contorno preto grosso, fundo creme e grafite. Primeiro e último quadros devem ficar limpos e estáveis para extensão na edição.","sem palavras, letras, números, logotipos, corrida esportiva, desespero, fotorrealismo, 3D, anime, câmera tremida, pés deformados, personagem inconsistente"
