scene_id,start,end,beat,narration_anchor,asset_id,format,visual,motion,text_on_screen,sfx,retention_role
S012,01:38,01:48,mecanismo_1,"virar o novo ponto de partida",A10,image,"Pódio sobe e vira piso plano sob os pés do protagonista","Match cut vertical","NOVO NORMAL","Impacto macio",metafora
S013,01:48,01:58,exemplos,"pedir comida era exceção",A11,image,"Antes e depois: delivery como festa rara versus rotina de terça-feira","Wipe central","EXCEÇÃO → ROTINA","Campainha distante",aplicacao
S014,01:58,02:08,payoff,"expectativa alcança a renda",V02,video,"Duas barras correm: renda verde sobe primeiro, expectativa amarela alcança depois","Segurar o primeiro quadro por 2 s, usar os 5 s gerados e segurar o último por 3 s","A EXPECTATIVA ALCANÇA","Clique final",payoff_2
S015,02:08,02:19,ressalva,"Isso não quer dizer que uma renda maior",A12,image,"Moradia, comida, saúde e reserva protegidos por um guarda-chuva verde","Zoom lento","DINHEIRO IMPORTA","Som de alívio",confiança
S016,02:19,02:29,ressalva,"não é uma ilusão psicológica",A13,image,"Protagonista sai de uma tempestade de contas para uma área segura","Pan para a zona clara","SEGURANÇA É REAL","Chuva cessando",nuance
S017,02:29,02:40,evidencia,"reanálise publicada em 2023",A14,image,"Página científica estilizada com várias pessoas distribuídas numa curva, sem reproduzir gráfico real","Foco seletivo da página para as pessoas","ASSOCIAÇÃO ≠ GARANTIA","Folha e clique",prova
S018,02:40,02:51,evidencia,"o efeito era pequeno",A15,image,"Cinco personagens em alturas diferentes sobre uma linha de renda ascendente","Realçar grupos um a um","NÃO É IGUAL PRA TODOS","Tiques suaves",nuance
S019,02:51,03:03,reversao,"não existe número mágico",A16,image,"Grande placa com um número coberto por faixa vermelha e várias setas contornando","Faixa entra na tela","SEM NÚMERO MÁGICO","Carimbo",payoff_3
S020,03:03,03:12,mecanismo_2,"muda o lugar de onde você olha",V03,video,"Elevador sobe com protagonista e abre em andar de colegas mais ricos","Segurar o primeiro quadro por 2 s, usar os 5 s gerados e segurar o último por 2 s","A RÉGUA SUBIU JUNTO","Sino de elevador",transicao
S021,03:12,03:22,mecanismo_2,"antes da promoção",A17,image,"Protagonista entre colegas do mesmo nível, todos com objetos simples","Pan de grupo","ANTES","Escritório discreto",contexto
S022,03:22,03:32,mecanismo_2,"depois dela",A18,image,"Mesmo protagonista cercado por colegas com carro, viagem e apartamento maiores","Zoom para expressão desconfortável","DEPOIS","Som abafado",contraste
S023,03:32,03:42,payoff,"grupo de comparação pegou o mesmo elevador",A19,image,"Dois elevadores lado a lado sobem juntos; um é salário e outro comparação","Setas verticais paralelas","MESMO ELEVADOR","Dois sinos",payoff_4
S024,03:42,03:53,evidencia,"posição da renda",A20,image,"Escada de cinco degraus com personagens; protagonista olha mais para cima do que para baixo","Câmera inclina para o topo","POSIÇÃO RELATIVA","Passos leves",prova
S025,03:53,04:03,evidencia,"comparações para cima",A21,image,"Olho do protagonista direcionado a três silhuetas acima, figuras abaixo desfocadas","Rack focus simulado","VOCÊ OLHA PRA CIMA","Pulso agudo",insight
S026,04:03,04:13,contradicao,"ganhar mais, viver melhor",A22,image,"Seta de renda verde sobe, mas uma régua vermelha sobe mais rápido","Animação de barras","A RÉGUA FUGIU","Escalada curta",payoff_5
S027,04:13,04:21,evidencia,"experimento de informação",A23,image,"Envelope revela renda média de pares a um grupo de famílias ilustradas","Envelope abre","O SALÁRIO DOS OUTROS","Papel abrindo",prova
S028,04:21,04:29,evidencia,"bens duráveis",A24,image,"Setas movem orçamento entre cesta cotidiana e sofá, carro e eletrônico","Deslocamento lateral","ESCOLHAS MUDAM","Caixa registradora",recompensa
S029,04:29,04:39,aplicacao,"colega troca de carro",A25,image,"Feed vertical mostra carro, bairro e viagem em três cartões","Rolagem rápida e parada","NOVO PADRÃO","Scroll",identificacao
S030,04:39,04:49,mecanismo_3,"Imagine que Ana",A26,image,"Personagem Ana diante de contracheque de R$ 4.000 e aumento de R$ 1.000","Números entram no editor em duas etapas","+ R$ 1.000","Moeda única",setup
S031,04:49,04:59,mecanismo_3,"melhora coisas pequenas",A27,image,"Cinco escolhas legítimas: moradia, transporte, delivery, plano e parcela","Destacar cada escolha ao redor de Ana","SÓ MELHORIAS PEQUENAS","Cinco cliques",escalada
S032,04:59,05:10,mecanismo_3,"trezentos e cinquenta",A28,image,"Barra do aumento sendo ocupada por cinco blocos de despesa","Preenchimento progressivo","350 + 180 + 170 + 120 + 130","Contador",prova_visual
S033,05:10,05:18,payoff,"Sobram cinquenta reais",A29,image,"Barra de mil quase toda vermelha com pequeno segmento verde de cinquenta","Zoom no segmento final","SOBROU R$ 50","Batida seca",payoff_6
S034,05:18,05:28,nuance,"Não é uma média nacional",A30,image,"Carimbo FICTÍCIO sobre ficha de Ana, sem invalidar a conta","Carimbo rápido","EXEMPLO FICTÍCIO","Carimbo",credibilidade
S035,05:28,05:39,mecanismo_3,"prazer e obrigação envelhecem",A31,image,"Presente brilhante desaparece enquanto calendário de cobrança permanece sólido","Dissolver presente, manter boleto","PRAZER PASSA • CONTA FICA","Brilho que apaga",frase
S036,05:39,05:51,payoff,"aumento vira cenário",V04,video,"Apartamento e carro perdem brilho; boletos ganham braços e entram no primeiro plano","Segurar o primeiro quadro por 3 s, usar os 5 s gerados e segurar o último por 4 s com parallax","A CONTA VIRA PERSONAGEM","Passos cômicos",payoff_7
S037,05:51,06:01,sintese,"junte as três peças",A32,image,"Três engrenagens rotuladas visualmente por ícones: adaptação, comparação e compromissos","Giro sequencial","3 FORÇAS","Engrenagens suaves",recap
S038,06:01,06:12,sintese,"melhora em rotina",A33,image,"Fluxo em três quadros: conquista vira normal, régua sobe, margem fecha","Câmera percorre os quadros","CONQUISTA → NORMAL → APERTO","Três transições",modelo
S039,06:12,06:23,sintese,"não é apenas um número",A34,image,"Triângulo com renda, compromissos e normal; suficiente no centro","Linhas aparecem","RENDA • CONTAS • NORMAL","Tom de descoberta",payoff_8
S040,06:23,06:34,aplicacao,"observar o intervalo",A35,image,"Calendário entre a data do aumento e a primeira nova despesa fixa","Zoom para espaço vazio entre eventos","PROTEJA O INTERVALO","Tique de relógio",utilidade
S041,06:34,06:44,nuance,"não para congelar a vida",A36,image,"Protagonista escolhe conscientemente um conforto e recusa outro automático","Balança inclina e estabiliza","ESCOLHA, NÃO CULPA","Clique afirmativo",confiança
S042,06:44,06:54,aplicacao,"o dinheiro novo ganha um destino",A37,image,"Três envelopes neutros: viver melhor, margem e futuro, sem porcentagens","Envelopes se organizam","ANTES DO AUTOMÁTICO","Papel",modelo
S043,06:54,07:03,consequencia,"enorme no contracheque",A38,image,"Contracheque grande projeta sombra pequena de liberdade porque contas ocupam o espaço","Sombra encolhe","GRANDE NO PAPEL","Grave curto",reversao
S044,07:03,07:13,callback,"volte para aquela mensagem",A01B,image,"Retorno ao close do celular da abertura, agora três fios verdes discretos aparecem atrás","Zoom inverso","O QUE VAI VIRAR NORMAL?","Notificação ecoada",callback
S045,07:13,07:23,callback,"período silencioso",A39,image,"Calendário sem prazo numérico mostra pequenos upgrades se fixando como cadeados","Cadeados fecham um a um","DEPOIS DO AUMENTO","Três travas",alerta
S046,07:23,07:31,frase_final,"O dinheiro não sumiu",V05,video,"Linha de chegada sobre rodas se afasta enquanto protagonista para e percebe o mecanismo","Segurar o primeiro quadro por 1 s, usar os 5 s gerados e segurar o último por 2 s","A LINHA APRENDEU A ANDAR","Roda e parada",payoff_final
S047,07:31,07:38,cta,"Se você quer enxergar",A40,image,"Protagonista reconhece os três mecanismos e acompanha o fio verde até a marca","Leve push-in","ENXERGUE O INVISÍVEL","Som de descoberta",promessa_canal
S048,07:38,07:43,cta,"inscreva-se",A41,image,"Logo do Capital Oculto surge pelo fio verde formando um contorno de chave","Traço desenhado","CAPITAL OCULTO","Assinatura sonora",conversao
