ordem,id,status,pilar,titulo_base,thumb_base,tese,potencial_clique_1a5,potencial_retencao_1a5,facilidade_producao_1a5,potencial_evergreen_1a5,adequacao_marca_1a5,score_total_25,risco_factual,observacoes
30,CO-I030,BANCO,Dinheiro cotidiano,O primeiro R$ 1.000 muda mais que o seu saldo,A PRIMEIRA MARGEM,Uma pequena reserva cria tempo para decidir e reduz a dependência de escolhas urgentes,4,5,5,5,4,23,MEDIO,Não prometer transformação universal
31,CO-I031,BANCO,Dinheiro cotidiano,Por que pagar em dinheiro muda o que você compra,DÓI MAIS PAGAR,A saliência física do pagamento pode aumentar a percepção de perda no momento da compra,4,4,5,5,4,22,MEDIO,Contextualizar evidências em pagamentos digitais
32,CO-I032,BANCO,Consumo e manipulação,A fila do caixa foi desenhada para você gastar,SÓ MAIS UMA COISA,Espera conveniência e produtos pequenos exploram decisões de baixa reflexão,4,4,5,5,4,22,MEDIO,Não alegar intenção sem fonte sobre varejo
33,CO-I033,BANCO,Dinheiro cotidiano,Por que pequenas economias podem sair muito caras,O BARATO COBROU,A economia imediata pode ocultar tempo risco manutenção e substituições repetidas,4,5,4,5,4,22,MEDIO,Equilibrar com casos em que o barato funciona
34,CO-I034,BANCO,Carreira e renda,Por que você aceita trabalhar de graça sem perceber,NÃO CONTA COMO TRABALHO,Disponibilidade constante e tarefas invisíveis normalizam tempo produtivo não reconhecido,5,4,4,4,5,22,MEDIO,Evitar aconselhamento jurídico
35,CO-I035,BANCO,Status e comparação,Por que falar de dinheiro causa tanta vergonha,NINGUÉM QUER FALAR,Dinheiro mistura identidade mérito família e status criando silêncio mesmo quando conversar ajudaria,4,5,4,5,4,22,MEDIO,Tratar diferenças sociais com cuidado
36,CO-I036,BANCO,Decisões sob risco,O medo que faz você deixar todo o dinheiro parado,SEGURO DEMAIS?,A aversão à perda pode fazer a segurança nominal parecer melhor que qualquer oscilação,4,4,4,5,5,22,ALTO,Conteúdo educativo sem recomendação de investimento
37,CO-I037,BANCO,Dinheiro cotidiano,Por que uma conta separada muda seu comportamento,DINHEIRO COM NOME,Rotular valores cria fronteiras mentais que ajudam ou atrapalham decisões conforme o objetivo,4,4,5,5,4,22,BAIXO,Experimento visual fácil com envelopes
38,CO-I038,BANCO,Status e comparação,Por que casais brigam pelo que o dinheiro significa,NÃO É SOBRE O VALOR,Conflitos financeiros frequentemente carregam diferenças sobre segurança autonomia afeto e poder,4,5,4,5,4,22,ALTO,Evitar terapia improvisada e generalizações
39,CO-I039,BANCO,Decisões sob risco,Por que dinheiro inesperado desaparece tão rápido,NEM PARECIA SEU,A contabilidade mental trata bônus restituições e presentes como dinheiro menos protegido,4,5,5,5,3,22,MEDIO,História sazonal mas mecanismo perene
40,CO-I040,BANCO,Dinheiro cotidiano,Por que controlar cada centavo pode fazer você desistir,O PLANO QUE CANSA,Sistemas exigentes demais acumulam fricção e transformam um deslize em abandono total,4,5,5,5,3,22,MEDIO,Fechar com princípio de sistema sustentável
